type,note(s),duration_type,duration_quarterLength,offset
note,G5,quarter,1.0,185.0
note,C6,eighth,0.5,186.0
note,F#5,quarter,1.0,186.5
note,B5,eighth,0.5,187.5
note,F5,quarter,1.0,188.0
note,B5,eighth,0.5,189.0
note,E5,quarter,1.0,189.5
note,A5,eighth,0.5,190.5
note,E5,quarter,1.0,191.0
note,G#5,half,3.0,192.0
chord,"F5,G#5",quarter,1.0,195.0
note,C#6,eighth,0.5,197.0
note,B6,16th,0.25,197.5
note,C6,eighth,0.5,198.5
note,A6,16th,0.25,199.0
note,B5,eighth,0.5,200.0
note,G#6,16th,0.25,200.5
note,B5,eighth,0.5,201.5
note,G6,16th,0.25,202.0
note,A5,eighth,0.5,203.0
note,F#6,16th,0.25,203.5
note,G#5,zero,0.0,204.0
note,G#5,complex,4.25,204.0
note,F5,16th,0.25,208.5
note,F#5,16th,0.25,208.75
note,G5,16th,0.25,209.0
note,G#5,16th,0.25,209.25
note,C6,16th,0.25,209.5
note,B5,16th,0.25,209.75
note,G#5,half,5/3,210.0
note,G5,16th,0.25,211.75
note,F#5,eighth,0.5,212.0
note,E5,16th,0.25,212.5
note,F5,16th,0.25,212.75
note,C#5,quarter,1.5,213.0
note,F5,16th,0.25,214.5
note,F#5,16th,0.25,214.75
note,G5,16th,0.25,215.0
note,G#5,16th,0.25,215.25
note,C6,16th,0.25,215.5
note,B5,16th,0.25,215.75
note,G#5,half,5/3,216.0
note,G5,16th,0.25,217.75
note,F#5,16th,0.25,218.0
note,F5,16th,0.25,218.25
note,E5,16th,0.25,218.5
note,F5,16th,0.25,218.75
chord,"C#5,F4",complex,2.75,219.0
chord,"G#4,F5",16th,0.25,222.0
chord,"B4,F#5",16th,0.25,222.25
chord,"C5,G#5",16th,0.25,222.5
chord,"E5,C6",16th,0.25,222.75
chord,"F5,C#6",16th,0.25,223.0
chord,"F#5,E6",16th,0.25,223.25
chord,"G#5,F6",16th,0.25,223.5
chord,"B5,F#6",16th,0.25,223.75
chord,"C6,G#6",16th,0.25,224.0
chord,"C#6,B6",16th,0.25,224.25
chord,"F6,C#7",16th,0.25,224.5
chord,"F#6,E7",16th,0.25,224.75
chord,"G#6,F7",quarter,1.0,225.0
chord,"G#4,F5",quarter,1.5,226.5
chord,"F4,C#5",complex,2.75,228.0
rest,,complex,20.0,0.0
note,E5,16th,0.25,20.0
rest,,inexpressible,2455/12,20.0
note,E5,16th,0.25,61/3
note,F#6,half,4/3,21.0
note,F#5,16th,0.25,67/3
note,G#5,16th,0.25,76/3
note,C#5,eighth,1/3,30.5
chord,"B4,F#5",16th,0.25,94/3
note,A4,16th,0.25,32.0
note,B4,16th,0.25,32.25
chord,"C#5,F5",16th,0.25,98/3
chord,"C#5,F5",eighth,1/3,34.5
chord,"C5,E5",16th,0.25,35.0
chord,"C5,E5",16th,0.25,106/3
chord,"B5,D5",16th,0.25,115/3
chord,"F5,G#5",16th,0.25,122/3
chord,"F5,G#5",16th,0.25,124/3
chord,"E5,B5",16th,0.25,130/3
chord,"B4,B5",16th,0.25,131/3
chord,"D5,B5",16th,0.25,133/3
chord,"E5,B5",16th,0.25,134/3
chord,"F#5,B5",16th,0.25,136/3
chord,"F#5,B5",16th,0.25,45.75
chord,"E5,F#5",16th,0.25,46.5
chord,"F5,G#5",16th,0.25,47.0
chord,"F5,G#5",16th,0.25,142/3
chord,"F#5,B5",16th,0.25,143/3
chord,"F5,G#5",eighth,0.5,48.0
note,B4,16th,0.25,167/3
note,E5,16th,0.25,56.75
chord,"F#4,F#5",16th,0.25,178/3
chord,"E4,E5",16th,0.25,179/3
note,B4,16th,0.25,185/3
note,E5,16th,0.25,62.5
note,F#5,16th,0.25,92.75
note,F#6,eighth,0.5,93.0
note,C#6,16th,0.25,93.75
note,E5,16th,0.25,283/3
note,C6,16th,0.25,95.0
note,E5,16th,0.25,95.25
note,D6,16th,0.25,95.5
note,E6,16th,0.25,95.75
chord,"G5,E6",eighth,0.75,96.0
chord,"G#5,F6",16th,0.25,292/3
chord,"D5,B5",16th,0.25,100.75
chord,"C#5,F#5",16th,0.25,310/3
chord,"C#5,E5",eighth,1/3,106.5
chord,"B4,D5",16th,0.25,107.0
chord,"B4,D5",16th,0.25,322/3
chord,"C#5,E5",16th,0.25,323/3
chord,"B4,D5",eighth,0.5,108.0
note,C#5,quarter,1.5,111.0
note,C#5,16th,0.25,112.5
note,C#5,16th,0.25,112.75
note,C5,eighth,0.75,113.0
chord,"C#5,E5",16th,0.25,344/3
chord,"E5,C#6",16th,0.25,115.0
chord,"F#5,A5",16th,0.25,346/3
chord,"G#4,G#5",16th,0.25,347/3
chord,"C5,G#5",16th,0.25,349/3
chord,"D5,G#5",16th,0.25,350/3
chord,"F#5,G#5",eighth,0.5,117.0
chord,"F#5,A5",eighth,0.5,117.5
note,E5,quarter,1.5,120.0
note,C5,eighth,0.5,122.0
note,B4,eighth,0.5,122.5
note,F#6,complex,1.25,123.5
note,B5,16th,0.25,376/3
note,F#5,16th,0.25,377/3
note,F#6,complex,1.25,126.5
note,A5,16th,0.25,385/3
note,F#5,16th,0.25,386/3
note,F#6,quarter,1.0,129.5
note,F#6,eighth,0.5,131.0
note,F6,16th,0.25,398/3
note,D6,16th,0.25,400/3
note,E5,16th,0.25,401/3
note,C5,16th,0.25,403/3
note,G5,16th,0.25,404/3
note,G#5,16th,0.25,148.75
note,G5,16th,0.25,448/3
note,G#5,16th,0.25,449/3
chord,"C#5,E5",16th,0.25,455/3
note,C#5,16th,0.25,152.0
note,C#5,16th,0.25,152.25
note,G#5,16th,0.25,152.5
note,E6,16th,0.25,152.75
chord,"B6,G#6",16th,0.25,153.0
chord,"B6,F#6",16th,0.25,460/3
chord,"B6,F6",16th,0.25,461/3
chord,"B6,E6",16th,0.25,154.0
chord,"B6,D6",16th,0.25,463/3
chord,"C#6,C6",16th,0.25,464/3
chord,"B6,C#7",16th,0.25,155.0
chord,"C#7,B6",16th,0.25,466/3
chord,"C#6,B5",16th,0.25,467/3
note,B4,16th,0.25,156.75
note,B4,16th,0.25,157.0
note,B4,16th,0.25,472/3
note,F#5,eighth,0.5,159.0
chord,"F#5,B5",16th,0.25,160.5
chord,"F5,G#5",16th,0.25,161.0
chord,"F5,G#5",16th,0.25,484/3
chord,"E5,B5",16th,0.25,490/3
chord,"B4,B5",16th,0.25,491/3
chord,"D5,B5",16th,0.25,493/3
chord,"E5,B5",16th,0.25,494/3
chord,"F#5,B5",16th,0.25,166.5
chord,"F5,G#5",16th,0.25,167.0
chord,"F5,G#5",16th,0.25,502/3
chord,"E5,C6",16th,0.25,511/3
chord,"C5,G#5",16th,0.25,512/3
note,C#4,16th,0.25,177.0
note,C#5,16th,0.25,533/3
note,C#6,16th,0.25,178.0
note,G#6,16th,0.25,535/3
note,G#6,16th,0.25,179.0
note,C#6,16th,0.25,538/3
note,E5,16th,0.25,539/3
note,E4,quarter,1.5,180.0
note,F4,eighth,0.75,181.5
note,E4,16th,0.25,182.25
note,F4,16th,0.25,182.5
note,C#4,16th,0.25,182.75
note,G#4,16th,0.25,193.0
note,B4,16th,0.25,193.25
note,C5,16th,0.25,193.5
