type,note(s),duration_type,duration_quarterLength,offset
chord,"G4,B4,D5,G5",eighth,0.5,746.5
chord,"G4,B4,D5,G5",eighth,0.5,747.0
chord,"G4,B4,D5,G5",eighth,0.5,747.5
chord,"G4,C5,E5,G5",quarter,1.0,748.0
chord,"G4,B4,D5,G5",eighth,0.5,750.5
chord,"G4,B4,D5,G5",eighth,0.5,751.0
chord,"G4,B4,D5,G5",eighth,0.5,751.5
chord,"G4,C5,E5,G5",quarter,1.0,752.0
chord,"D5,G5,B5",eighth,0.5,754.5
chord,"D5,G5,B5",eighth,0.5,755.0
chord,"D5,G5,B5",eighth,0.5,755.5
chord,"C5,E5,G5,C6",eighth,0.5,756.0
chord,"C5,C6",eighth,0.5,756.5
chord,"C5,C6",eighth,0.5,757.0
chord,"C5,C6",eighth,0.5,757.5
chord,"C5,C6",eighth,0.5,758.0
chord,"C5,E5,C6",eighth,0.5,758.5
chord,"C5,E5,C6",eighth,0.5,759.0
chord,"C5,E5,C6",eighth,0.5,759.5
chord,"C5,F5,C6",eighth,0.5,760.0
chord,"C5,C6",eighth,0.5,760.5
chord,"C5,C6",eighth,0.5,761.0
chord,"C5,C6",eighth,0.5,761.5
chord,"C5,C6",eighth,0.5,762.0
chord,"C5,F5,C6",eighth,0.5,762.5
chord,"C5,F5,C6",eighth,0.5,763.0
chord,"C5,F5,C6",eighth,0.5,763.5
chord,"C5,G5,C6",eighth,0.5,764.0
chord,"C5,C6",eighth,0.5,764.5
chord,"C5,C6",eighth,0.5,765.0
chord,"C5,C6",eighth,0.5,765.5
chord,"C5,C6",eighth,0.5,766.0
chord,"C5,G5,C6",eighth,0.5,766.5
chord,"C5,G5,C6",eighth,0.5,767.0
chord,"C5,G5,C6",eighth,0.5,767.5
chord,"C5,G#5,C6",eighth,0.5,768.0
chord,"C5,C6",eighth,0.5,768.5
chord,"C5,C6",eighth,0.5,769.0
chord,"C5,C6",eighth,0.5,769.5
chord,"C5,C6",eighth,0.5,770.0
chord,"C5,G#5,C6",eighth,0.5,770.5
chord,"C5,G#5,C6",eighth,0.5,771.0
chord,"C5,G#5,C6",eighth,0.5,771.5
chord,"C#5,G#5,C#6",eighth,0.5,772.0
chord,"C#5,G#5,C#6",eighth,0.5,772.5
chord,"C#5,G#5,C#6",eighth,0.5,773.0
chord,"C#5,G#5,C#6",eighth,0.5,773.5
chord,"C#5,G#5,C#6",eighth,0.5,774.0
