[151, 80, 2]
[191, 116, 23]
[204, 117, 4]
[190, 126, 28]
[203, 144, 52]
[203, 126, 12]
[194, 105, 1]
[198, 109, 25]
[197, 120, 74]
[195, 138, 0]
[203, 134, 15]
[142, 163, 192]
[185, 149, 9]
[161, 124, 82]
[156, 162, 148]
[171, 138, 7]
[120, 114, 102]
[129, 101, 53]
[126, 131, 75]
[14, 26, 12]
[65, 76, 70]
[32, 36, 21]
[202, 151, 10]
[209, 196, 91]
[53, 51, 52]
[19, 20, 24]
[16, 52, 110]
[65, 101, 5]
[97, 101, 16]
[111, 131, 44]
[207, 106, 18]
[139, 72, 0]
[210, 114, 14]
[111, 61, 0]
[212, 130, 22]
[213, 144, 53]
[210, 142, 45]
[210, 127, 31]
[201, 111, 0]
[226, 121, 16]
[204, 115, 15]
[211, 161, 26]
[164, 108, 51]
[172, 134, 0]
[139, 168, 186]
[109, 106, 91]
[128, 161, 194]
[126, 150, 178]
[170, 127, 15]
[166, 149, 31]
[102, 139, 183]
[112, 110, 121]
[154, 86, 3]
[92, 108, 121]
[206, 157, 2]
[200, 176, 40]
[52, 35, 28]
[29, 32, 49]
[37, 77, 138]
[69, 108, 19]
[111, 123, 51]
[170, 108, 7]
[181, 118, 41]
[99, 100, 43]
[208, 111, 6]
[80, 56, 18]
[214, 123, 9]
[183, 139, 68]
[212, 195, 143]
[198, 168, 132]
[188, 112, 16]
[229, 141, 52]
[153, 94, 18]
[182, 106, 22]
[157, 66, 0]
[127, 146, 186]
[195, 94, 6]
[207, 162, 79]
[179, 102, 20]
[216, 99, 4]
[172, 173, 178]
[130, 155, 186]
[179, 99, 30]
[172, 90, 17]
[143, 101, 27]
[109, 114, 24]
[210, 170, 10]
[231, 184, 32]
[63, 35, 32]
[11, 25, 34]
[38, 77, 134]
[57, 91, 40]
[99, 124, 59]
[193, 212, 210]
[172, 199, 190]
[173, 192, 173]
[209, 112, 7]
[36, 41, 9]
[197, 130, 25]
[206, 211, 204]
[200, 210, 199]
[196, 202, 188]
[202, 208, 198]
[97, 63, 2]
[177, 118, 2]
[179, 72, 28]
[156, 64, 1]
[186, 142, 47]
[120, 140, 141]
[141, 156, 177]
[129, 150, 177]
[144, 149, 168]
[160, 114, 99]
[176, 104, 2]
[161, 113, 5]
[110, 133, 175]
[55, 54, 52]
[186, 94, 0]
