type,note(s),duration_type,duration_quarterLength,tie,quarterLength
note,B5,quarter,1.5,,1.5
note,C#6,quarter,1.5,,1.5
note,B5,quarter,1.5,,1.5
note,C#6,quarter,1.5,,1.5
note,E6,quarter,1.5,,1.5
chord,"F6,G#6",complex,4.25,,4.25
rest,,16th,0.25,,0.25
rest,,complex,10.5,,10.5
note,B4,half,3.5,,3.5
rest,,inexpressible,303.0,,303.0
note,C5,whole,10/3,,10/3
note,B4,eighth,0.5,,0.5
note,C5,eighth,0.5,,0.5
note,B4,eighth,0.5,,0.5
note,E5,eighth,0.5,,0.5
note,B4,eighth,0.5,,0.5
note,F#4,quarter,1.5,,1.5
note,E4,half,3.0,,3.0
note,E4,quarter,1.5,,1.5
note,C#4,complex,4.5,,4.5
note,B3,half,3.0,,3.0
chord,"F#4,B4",half,3.75,,3.75
note,G#4,quarter,1.0,,1.0
note,F5,half,2.0,,2.0
chord,"F#4,B4",whole,4.0,,4.0
note,G#4,quarter,1.0,,1.0
note,F5,complex,2.25,,2.25
note,F5,complex,1.25,,1.25
note,F4,whole,4.0,,4.0
chord,"F5,B5,F6",complex,1.25,,1.25
note,F#5,eighth,0.75,,0.75
note,C#5,quarter,1.5,,1.5
note,F#5,eighth,0.75,,0.75
chord,"B4,C#5",quarter,1.5,,1.5
note,F#5,quarter,1.5,,1.5
note,G#4,quarter,1.5,,1.5
note,G4,eighth,0.5,,0.5
note,F4,eighth,0.5,,0.5
note,C#4,eighth,0.5,,0.5
note,G#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,F#4,eighth,0.75,,0.75
note,B4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,G#5,16th,0.25,,0.25
note,G#5,16th,0.25,,0.25
note,B5,16th,0.25,,0.25
note,E4,half,3.0,,3.0
note,C4,quarter,1.5,,1.5
note,E4,half,3.0,,3.0
note,C4,quarter,1.5,,1.5
note,C#4,eighth,0.5,,0.5
note,B3,eighth,0.5,,0.5
note,C#4,eighth,0.5,,0.5
note,B3,eighth,0.5,,0.5
note,C4,eighth,0.5,,0.5
note,E4,eighth,0.5,,0.5
note,C#4,eighth,0.5,,0.5
note,B3,eighth,0.5,,0.5
note,C#4,eighth,0.5,,0.5
note,B3,eighth,0.5,,0.5
note,C4,eighth,0.5,,0.5
note,E4,eighth,0.5,,0.5
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#5,quarter,1.5,,1.5
note,F5,half,2.0,,2.0
note,F5,half,2.0,,2.0
note,C#5,quarter,1.5,,1.5
note,C#5,quarter,1.5,,1.5
chord,"F#4,B4",half,3.75,,3.75
note,G#4,quarter,1.0,,1.0
note,F5,half,2.0,,2.0
chord,"F4,B4",whole,4.0,,4.0
note,G#3,quarter,1.0,,1.0
chord,"B3,C#4",quarter,1.0,,1.0
